user_id,employee_id,dept,role,clearance,location,status
U0001,E00001,Data Science,analyst,public,Surabaya,active
U0002,E00002,HR,manager,public,Surabaya,active
U0003,E00003,Legal,analyst,restricted,Jakarta,active
U0004,E00004,HR,manager,public,Surabaya,active
U0005,E00005,Data Science,admin,restricted,Jakarta,active
U0006,E00006,Engineering,analyst,internal,Surabaya,active
U0007,E00007,Engineering,manager,internal,Bandung,terminated
U0008,E00008,Sales,analyst,confidential,Bandung,active
U0009,E00009,Operations,analyst,restricted,Surabaya,active
U0010,E00010,Sales,analyst,confidential,Surabaya,active
U0011,E00011,Operations,engineer,internal,Surabaya,active
U0012,E00012,Data Science,manager,confidential,Jakarta,active
U0013,E00013,Operations,analyst,restricted,Bandung,active
U0014,E00014,Operations,engineer,internal,Bandung,active
U0015,E00015,Data Science,engineer,public,Surabaya,active
U0016,E00016,Legal,admin,internal,Jakarta,active
U0017,E00017,Engineering,admin,internal,Surabaya,active
U0018,E00018,Operations,analyst,internal,Jakarta,active
U0019,E00019,Sales,engineer,public,Jakarta,active
U0020,E00020,Legal,admin,confidential,Jakarta,active
U0021,E00021,Sales,admin,restricted,Jakarta,active
U0022,E00022,HR,admin,confidential,Surabaya,active
U0023,E00023,Legal,director,confidential,Jakarta,terminated
U0024,E00024,HR,intern,restricted,Jakarta,active
U0025,E00025,Operations,analyst,internal,Surabaya,active
U0026,E00026,Data Science,director,public,Bandung,active
U0027,E00027,Sales,intern,confidential,Surabaya,active
U0028,E00028,Finance,admin,public,Surabaya,active
U0029,E00029,Operations,engineer,confidential,Jakarta,active
U0030,E00030,HR,director,public,Surabaya,active
U0031,E00031,Engineering,intern,internal,Surabaya,active
U0032,E00032,Operations,admin,confidential,Surabaya,active
U0033,E00033,HR,manager,confidential,Jakarta,active
U0034,E00034,Operations,intern,public,Surabaya,active
U0035,E00035,Finance,analyst,confidential,Bandung,active
U0036,E00036,HR,intern,public,Jakarta,active
U0037,E00037,Operations,analyst,internal,Jakarta,active
U0038,E00038,Legal,manager,confidential,Surabaya,active
U0039,E00039,Sales,manager,internal,Surabaya,active
U0040,E00040,Data Science,admin,confidential,Bandung,active
U0041,E00041,Sales,analyst,internal,Jakarta,active
U0042,E00042,Finance,intern,internal,Surabaya,active
U0043,E00043,Finance,admin,public,Jakarta,active
U0044,E00044,Finance,engineer,public,Surabaya,active
U0045,E00045,Data Science,director,internal,Surabaya,active
U0046,E00046,Legal,intern,restricted,Jakarta,active
U0047,E00047,Operations,director,internal,Jakarta,active
U0048,E00048,Sales,engineer,restricted,Bandung,active
U0049,E00049,Data Science,analyst,public,Jakarta,active
U0050,E00050,Engineering,analyst,internal,Jakarta,active
U0051,E00051,Sales,manager,restricted,Jakarta,active
U0052,E00052,HR,analyst,restricted,Surabaya,active
U0053,E00053,Data Science,intern,public,Jakarta,active
U0054,E00054,Operations,manager,internal,Bandung,active
U0055,E00055,HR,director,public,Jakarta,active
U0056,E00056,Sales,engineer,restricted,Bandung,active
U0057,E00057,Data Science,intern,restricted,Jakarta,active
U0058,E00058,HR,analyst,public,Surabaya,active
U0059,E00059,Finance,intern,restricted,Surabaya,active
U0060,E00060,Legal,manager,public,Surabaya,active
U0061,E00061,HR,analyst,public,Surabaya,active
U0062,E00062,Sales,analyst,internal,Surabaya,active
U0063,E00063,Legal,analyst,restricted,Surabaya,active
U0064,E00064,Legal,engineer,confidential,Jakarta,active
U0065,E00065,Engineering,manager,confidential,Bandung,active
U0066,E00066,Data Science,engineer,restricted,Bandung,active
U0067,E00067,Finance,analyst,restricted,Surabaya,terminated
U0068,E00068,Finance,analyst,internal,Surabaya,active
U0069,E00069,Engineering,analyst,internal,Bandung,active
U0070,E00070,Sales,intern,confidential,Surabaya,terminated
U0071,E00071,Operations,admin,public,Surabaya,active
U0072,E00072,Engineering,admin,public,Jakarta,active
U0073,E00073,Finance,admin,internal,Bandung,active
U0074,E00074,HR,admin,confidential,Jakarta,active
U0075,E00075,Operations,engineer,restricted,Bandung,active
U0076,E00076,Operations,analyst,public,Surabaya,active
U0077,E00077,Engineering,analyst,public,Bandung,active
U0078,E00078,Data Science,engineer,internal,Surabaya,active
U0079,E00079,Data Science,director,public,Jakarta,active
U0080,E00080,Data Science,manager,public,Bandung,terminated
U0081,E00081,HR,director,internal,Jakarta,active
U0082,E00082,Operations,analyst,confidential,Jakarta,active
U0083,E00083,Data Science,analyst,confidential,Surabaya,active
U0084,E00084,Sales,intern,internal,Jakarta,active
U0085,E00085,Operations,manager,restricted,Jakarta,active
U0086,E00086,Engineering,director,internal,Bandung,active
U0087,E00087,Data Science,analyst,restricted,Jakarta,active
U0088,E00088,HR,manager,restricted,Bandung,active
U0089,E00089,Operations,manager,internal,Jakarta,active
U0090,E00090,Sales,engineer,confidential,Jakarta,terminated
U0091,E00091,Engineering,engineer,restricted,Surabaya,terminated
U0092,E00092,Legal,engineer,public,Jakarta,active
U0093,E00093,Engineering,manager,confidential,Jakarta,active
U0094,E00094,Sales,engineer,confidential,Bandung,active
U0095,E00095,Legal,analyst,restricted,Surabaya,active
U0096,E00096,Finance,admin,restricted,Jakarta,active
U0097,E00097,Operations,intern,internal,Bandung,active
U0098,E00098,Data Science,engineer,confidential,Surabaya,active
U0099,E00099,Data Science,engineer,confidential,Surabaya,active
U0100,E00100,Sales,admin,confidential,Surabaya,active
U0101,E00101,Sales,admin,restricted,Surabaya,active
U0102,E00102,HR,intern,confidential,Bandung,active
U0103,E00103,Finance,engineer,confidential,Jakarta,active
U0104,E00104,Legal,intern,confidential,Bandung,active
U0105,E00105,Data Science,manager,restricted,Surabaya,active
U0106,E00106,Finance,engineer,confidential,Jakarta,active
U0107,E00107,Operations,manager,confidential,Jakarta,active
U0108,E00108,HR,analyst,public,Jakarta,terminated
U0109,E00109,Legal,analyst,restricted,Bandung,active
U0110,E00110,Legal,manager,restricted,Bandung,active
U0111,E00111,HR,admin,public,Jakarta,active
U0112,E00112,HR,manager,restricted,Jakarta,active
U0113,E00113,Operations,analyst,restricted,Jakarta,active
U0114,E00114,Data Science,intern,confidential,Bandung,active
U0115,E00115,Data Science,intern,restricted,Surabaya,active
U0116,E00116,HR,admin,restricted,Bandung,active
U0117,E00117,HR,admin,confidential,Surabaya,active
U0118,E00118,HR,engineer,restricted,Jakarta,active
U0119,E00119,HR,engineer,confidential,Bandung,active
U0120,E00120,Finance,manager,internal,Jakarta,active
U0121,E00121,HR,admin,internal,Jakarta,active
U0122,E00122,Engineering,intern,restricted,Bandung,active
U0123,E00123,Operations,director,restricted,Surabaya,active
U0124,E00124,Finance,intern,restricted,Bandung,active
U0125,E00125,Engineering,engineer,restricted,Bandung,active
U0126,E00126,Data Science,intern,internal,Bandung,active
U0127,E00127,Sales,director,public,Bandung,active
U0128,E00128,Data Science,director,internal,Bandung,active
U0129,E00129,Legal,intern,public,Bandung,active
U0130,E00130,Data Science,analyst,public,Surabaya,active
U0131,E00131,Operations,director,internal,Jakarta,active
U0132,E00132,Engineering,manager,restricted,Bandung,active
U0133,E00133,Sales,engineer,restricted,Bandung,active
U0134,E00134,Sales,analyst,public,Bandung,active
U0135,E00135,Finance,admin,public,Jakarta,active
U0136,E00136,HR,analyst,internal,Jakarta,active
U0137,E00137,Data Science,analyst,internal,Bandung,active
U0138,E00138,Operations,engineer,internal,Surabaya,active
U0139,E00139,Data Science,admin,public,Jakarta,terminated
U0140,E00140,Finance,intern,public,Bandung,active
U0141,E00141,Sales,director,internal,Jakarta,active
U0142,E00142,Operations,admin,internal,Jakarta,active
U0143,E00143,Engineering,admin,public,Surabaya,active
U0144,E00144,Engineering,intern,restricted,Surabaya,active
U0145,E00145,Legal,admin,confidential,Jakarta,active
U0146,E00146,Operations,director,public,Bandung,terminated
U0147,E00147,Data Science,director,internal,Bandung,active
U0148,E00148,Legal,admin,confidential,Surabaya,active
U0149,E00149,Legal,director,restricted,Bandung,active
U0150,E00150,Legal,engineer,confidential,Jakarta,active
